Restaurant,Category,Item Name,Description,Price,Dietary Tags
Bianca Woodfire Kitchen & Bar,Appetizers,Green Goddess Hummus,,$16,
Bianca Woodfire Kitchen & Bar,Appetizers,Woodgrilled Caulilini And Broccolini,,$15,spicy
Bianca Woodfire Kitchen & Bar,Appetizers,Warm Spinach & Artichoke Dip,,$14,
Bianca Woodfire Kitchen & Bar,Appetizers,Chilled Woodgrilled Local Asparagus*,,$14,
Bianca Woodfire Kitchen & Bar,Appetizers,Seasonal Burrata,,$19,
Bianca Woodfire Kitchen & Bar,Appetizers,Karaage Japanese Fried Chicken,,$18,
Bianca Woodfire Kitchen & Bar,Appetizers,Bianca Housemade Hummus,,$15,spicy
Bianca Woodfire Kitchen & Bar,Appetizers,Seasonal Maplebrook Burrata,,$21,gluten-free
Bianca Woodfire Kitchen & Bar,Appetizers,Chilled Woodgrilled Asparagus*,,$14,
Bianca Woodfire Kitchen & Bar,Sushi Crudo,Tuna Tartare*,,$25,
Bianca Woodfire Kitchen & Bar,Sushi Crudo,Wild Big Eye Spicy Tuna Roll*,,$18,spicy
Bianca Woodfire Kitchen & Bar,Sushi Crudo,Smoked Salmon Roll*,,$17,
Bianca Woodfire Kitchen & Bar,Sushi Crudo,Shiitake Mushroom Tempura Roll,,$22,
Bianca Woodfire Kitchen & Bar,Salads,Bianca Caesar*,,$17,
Bianca Woodfire Kitchen & Bar,Salads,Chopped Rotisserie Chicken,,$25,spicy
Bianca Woodfire Kitchen & Bar,Salads,Chinese Chicken Salad*,,$26,
Bianca Woodfire Kitchen & Bar,Salads,Salade Niçoise*,,$29,
Bianca Woodfire Kitchen & Bar,Salads,Bianca Caesar,,$17,
Bianca Woodfire Kitchen & Bar,Wood Fire Pizza,Margherita,,$22,
Bianca Woodfire Kitchen & Bar,Wood Fire Pizza,'meat Me' At Bianca Pizza,,$25,
Bianca Woodfire Kitchen & Bar,Wood Fire Pizza,Alla Vodka,,$22,
Bianca Woodfire Kitchen & Bar,Wood Fire Pizza,Seasonal Mushroom,,$23,
Bianca Woodfire Kitchen & Bar,Wood Fire Pizza,**dip Your Pizza Crust,,$2,
Bianca Woodfire Kitchen & Bar,Housemade Pasta,Fusilli,,$24,
Bianca Woodfire Kitchen & Bar,Housemade Pasta,Penne Alla Vodka,,$25,
Bianca Woodfire Kitchen & Bar,Housemade Pasta,'big Rig' Short Rib Rigatoni,,$27,
Bianca Woodfire Kitchen & Bar,Housemade Pasta,Truffle Fettuccine Alfredo,,$27,
Bianca Woodfire Kitchen & Bar,Housemade Pasta,Chicken Parmigiana,,$32,
Bianca Woodfire Kitchen & Bar,Woodfire Grill & Mains,Faroe Island Salmon*,,$34,
Bianca Woodfire Kitchen & Bar,Woodfire Grill & Mains,Freebird Half Chicken,,$32,
Bianca Woodfire Kitchen & Bar,Woodfire Grill & Mains,PRIME NEW YORK STRIP STEAK 12oz.*,,$56,
Bianca Woodfire Kitchen & Bar,Woodfire Grill & Mains,PRIME FILET MIGNON 8oz.,,$58,
Bianca Woodfire Kitchen & Bar,Sides,Truffle Fries,,$12,
Bianca Woodfire Kitchen & Bar,Sides,Brussels Sprouts,,$14,
Bianca Woodfire Kitchen & Bar,Sandwiches,Seasonal Mushroom French Dip,,$19,
Bianca Woodfire Kitchen & Bar,Sandwiches,Spicy Big Eye Tuna Steak Burger*,,$26,spicy
Bianca Woodfire Kitchen & Bar,Sandwiches,Wagyu Burger*,,$24,
Bianca Woodfire Kitchen & Bar,Sandwiches,make it a double burger!,,$34,
Bianca Woodfire Kitchen & Bar,Dessert,Banana Pudding Tiramisu,,$18,
Bianca Woodfire Kitchen & Bar,Dessert,Milk & Cookes,,$12,
Bianca Woodfire Kitchen & Bar,Dessert,Valrhona Chocolate Cream Pie,,$17,
Bianca Woodfire Kitchen & Bar,Dessert,Warm Apple Strudel,,$14,
Bianca Woodfire Kitchen & Bar,Dessert,House Made Sorbet & Ice Cream,,$9,
Bianca Woodfire Kitchen & Bar,Kids,Kids Pasta,,$9,gluten-free
Bianca Woodfire Kitchen & Bar,Kids,Bianca Kids Cheeseburger,,$14,
Bianca Woodfire Kitchen & Bar,Kids,Woodgrilled Salmon,,$18,
Bianca Woodfire Kitchen & Bar,Kids,Woodgrilled Marinated Chicken Breast,,$15,
Bianca Woodfire Kitchen & Bar,Kids,Japanese Fried Chicken,,$9,
Bianca Woodfire Kitchen & Bar,Kids,Cucumber Avocado Sushi Roll,,$9,
Bianca Woodfire Kitchen & Bar,Kids,Single Scoop Vanilla Ice Cream,,$5,
Bianca Woodfire Kitchen & Bar,Sushi & Crudo,Shiitake Mushroom Roll,,$22,
Bianca Woodfire Kitchen & Bar,Pasta,'big Rig' Short Rib Gf Penne,,$30,gluten-free
Bianca Woodfire Kitchen & Bar,Pasta,Gf Fusilli Penne Pesto,,$27,gluten-free
Bianca Woodfire Kitchen & Bar,Woodfire Grill,PRIME FILET MIGNON 8oz.*,,$58,
Bianca Woodfire Kitchen & Bar,Brunch,Bianca Omelette,,$19,
Bianca Woodfire Kitchen & Bar,Brunch,Bianca Breakfast Burrito,,$17,
Bianca Woodfire Kitchen & Bar,Brunch,'bagel Bar' Smoked Salmon Plate,,$18,
Bianca Woodfire Kitchen & Bar,Brunch,All-American Breakfast,,$16,
Bianca Woodfire Kitchen & Bar,Brunch,Shakshuka,,$16,spicy
Bianca Woodfire Kitchen & Bar,Brunch,Bianca French Toast,,$16,
Bianca Woodfire Kitchen & Bar,Brunch,Bianca Brunch Burger,,$27,
Bianca Woodfire Kitchen & Bar,Brunch,Bacon & Eggs Pizza,,$23,
Bianca Woodfire Kitchen & Bar,Brunch,Margherita Pizza,,$22,
Bianca Woodfire Kitchen & Bar,Brunch,North Country Smokehouse Bacon,,$5,
Bianca Woodfire Kitchen & Bar,Brunch,Housemade Sourdough Toast,,$2,
Bianca Woodfire Kitchen & Bar,Brunch,Home Fries,,$9,
Bianca Woodfire Kitchen & Bar,Brunch,House Chicken Maple Sausage,,$6,
Bianca Woodfire Kitchen & Bar,Brunch,Bagelsaurus Bagel,,$4,
Bianca Woodfire Kitchen & Bar,Coffee & Tea,Espresso,,$3,
Bianca Woodfire Kitchen & Bar,Coffee & Tea,Decaf Espresso,,$4,
Bianca Woodfire Kitchen & Bar,Coffee & Tea,Latte,,$4.50,
Bianca Woodfire Kitchen & Bar,Coffee & Tea,Cappuccino,,$4,
Bianca Woodfire Kitchen & Bar,Coffee & Tea,Coffee,,$3,spicy
Bianca Woodfire Kitchen & Bar,Coffee & Tea,Decaf Coffee,,$3,
Bianca Woodfire Kitchen & Bar,Coffee & Tea,TEA,,$4,spicy
Bianca Woodfire Kitchen & Bar,Brunch Cocktails,Mimosa,,$15,
Bianca Woodfire Kitchen & Bar,Brunch Cocktails,Bianca Bloody Mary,,$15,spicy
Bianca Woodfire Kitchen & Bar,Brunch Cocktails,Aperol Spritz,,$14,
Bianca Woodfire Kitchen & Bar,Brunch Cocktails,Espresso Martini,,$14,
Bianca Woodfire Kitchen & Bar,Brunch Cocktails,Snooze Button,,$14,
Bianca Woodfire Kitchen & Bar,Brunch Cocktails,Tahitian Wakeup Call,,$16,
Bianca Woodfire Kitchen & Bar,Brunch Cocktails,Morning Blossom,,$16,
Bianca Woodfire Kitchen & Bar,Brunch Cocktails,Oh Beehave,,$16,
Bianca Woodfire Kitchen & Bar,Sweets,Chocolate Mousse,,$14,
Bianca Woodfire Kitchen & Bar,Sweets,Salted Caramel Panna Cota,,$12,
Bianca Woodfire Kitchen & Bar,Sweets,Valrhona Chocolate Chip Cookie,,$3.50,
Bianca Woodfire Kitchen & Bar,Sweets,Butterscotch Pudding,,$12,
Bianca Woodfire Kitchen & Bar,Juice,Orange,,$4,
Bianca Woodfire Kitchen & Bar,Juice,Grapefruit,,$4,
Bianca Woodfire Kitchen & Bar,Juice,Cranberry,,$4,
Bianca Woodfire Kitchen & Bar,Bianca Cocktails,Red Sangria,,$16,
Bianca Woodfire Kitchen & Bar,Bianca Cocktails,Cucumber Collins,,$16,
Bianca Woodfire Kitchen & Bar,Bianca Cocktails,Palmyra,,$16,
Bianca Woodfire Kitchen & Bar,Bianca Cocktails,Strawberry Daiquiri,,$16,
Bianca Woodfire Kitchen & Bar,Bianca Cocktails,Pisco Sour,,$16,
Bianca Woodfire Kitchen & Bar,Bianca Cocktails,Bianca Margarita,,$16,
Bianca Woodfire Kitchen & Bar,Bianca Cocktails,El Diablo,,$16,spicy
Bianca Woodfire Kitchen & Bar,Bianca Cocktails,Contessa,,$16,
Bianca Woodfire Kitchen & Bar,Bianca Cocktails,Bonneville,,$16,
Bianca Woodfire Kitchen & Bar,Bubbles,MARSURET 'San Boldo' Prosecco Superiore Brut,,$14,
Bianca Woodfire Kitchen & Bar,Bubbles,PIERRE SPARR Brut Rosé Crémant d’Alsace,,$18,
Bianca Woodfire Kitchen & Bar,Bubbles,J. LASSALLE Brut premier cru champagne,,$34,
Bianca Woodfire Kitchen & Bar,White,2022 LA CANA Rias Biaxas albarino,,$15,
Bianca Woodfire Kitchen & Bar,White,2023 CLIC Friuli Venezia Giulia pinot grigio,,$14,
Bianca Woodfire Kitchen & Bar,White,2023 IMMICH-BATTERIEBERG Mosel Kabinett Trocken Riesling,,$16,
Bianca Woodfire Kitchen & Bar,White,2023 BARTON & GUESTIER Sancerre sauvignon blanc,,$21,
Bianca Woodfire Kitchen & Bar,White,2023 ALEXANDER VALLEY VINEYARDS Sonoma chardonnay,,$16,
Bianca Woodfire Kitchen & Bar,White,2023 CAVE DE LUGNEY ‘Les Charmes’ Burgundy chardonnay,,$16,
Bianca Woodfire Kitchen & Bar,Rosé,2024 l’OLIVETTE ‘Marie Nostrum’ Provence rosé,,$15,
Bianca Woodfire Kitchen & Bar,Orange,"2024 PARRA JIMÉNEZ ‘Gulp Hablo’ sauvignon blanc, verdejo",,$16,
Bianca Woodfire Kitchen & Bar,Red,2023 PRESQU'ILE Santa Barbara pinot noir,,$18,
Bianca Woodfire Kitchen & Bar,Red,2021 FELSINA Chianti Colli Senesi sangiovese,,$15,
Bianca Woodfire Kitchen & Bar,Red,2021 MUGA ‘El Anden’ Rioja tempranillo / garnacha,,$17,
Bianca Woodfire Kitchen & Bar,Red,2022 COU COU ‘Mon Poulet’ Central Coast cabernet sav,,$18,
Bianca Woodfire Kitchen & Bar,Sake,DEWAZAKURA Junmai Ginjo 'Green Ridge',,$16,
Bianca Woodfire Kitchen & Bar,Sake,by the glass,,$16,
Bianca Woodfire Kitchen & Bar,Sake,300 ml bottle,,$30,
Bianca Woodfire Kitchen & Bar,Sake,MURASHINO Junmai Nigori 'Daku',,$55,
Bianca Woodfire Kitchen & Bar,Sake,500 ml bottle,,$55,
Bianca Woodfire Kitchen & Bar,Sake,SHICHI HON YARI Junmai 'Seven Spearsmen',,$16,
Bianca Woodfire Kitchen & Bar,Draft Beer,JACK’S ABBEY House Lager 16oz / 5.2%,,$10,
Bianca Woodfire Kitchen & Bar,Draft Beer,ALLAGASH 'White' Belgian style wheat 16oz / 5.2% abv,,$10,
Bianca Woodfire Kitchen & Bar,Draft Beer,ROTATING SEASONAL please inquire 16oz,,$12,
Bianca Woodfire Kitchen & Bar,Draft Beer,MAINE BEER CO. ‘lunch’ IPA 12oz / 7%,,$16,
Bianca Woodfire Kitchen & Bar,Draft Beer,ROTATING DIPA please inquire 12oz,,$12,
Bianca Woodfire Kitchen & Bar,Bottles & Cans,SAPPORO Lager 12oz,,$7,
Bianca Woodfire Kitchen & Bar,Bottles & Cans,HEINEKEN Lager 12oz,,$7,
Bianca Woodfire Kitchen & Bar,Bottles & Cans,ZERO GRAVITY 'Green State Light' Pilsner 16oz,,$10,
Bianca Woodfire Kitchen & Bar,Bottles & Cans,HITACHINO NEST ‘Red Rice’ Strong Ale 12oz,,$14,
Bianca Woodfire Kitchen & Bar,Bottles & Cans,SHACKSBURY Yuzu Ginger Cider 12oz,,$8,
Bianca Woodfire Kitchen & Bar,Non-Alcoholic,BEST DAY BREWING Non-Alcoholic Kolsch 12oz,,$7,
Bianca Woodfire Kitchen & Bar,Non-Alcoholic,ATHLETIC ‘Freewave’ Non-Alcoholic IPA 12oz,,$7,
Bianca Woodfire Kitchen & Bar,Non-Alcoholic,ST AGRESTIS ‘Phony Negroni’ Non-Alcoholic Cocktail,,$12,
Bianca Woodfire Kitchen & Bar,Mocktails,Rose Of Sharon,,$8,
Bianca Woodfire Kitchen & Bar,Mocktails,Mint Berry Crunch,,$8,
Bianca Woodfire Kitchen & Bar,Mocktails,La Marina,,$8,
Bianca Woodfire Kitchen & Bar,Mocktails,Grapefruit Soda,,$6,
Bianca Woodfire Kitchen & Bar,Mocktails,House Lemonade,,$6,
In House Cafe,Our Menu,Breakfast Menu,,,
In House Cafe,Our Menu,Lunch Menu,,,
In House Cafe,Freestyle Of Egg,In - House Sirloin & Eggs,,,
In House Cafe,Freestyle Of Egg,Shakshuka,,,
In House Cafe,Omelette,Served with Home Fries and Toast or English Muffin.,In - House Traditional Omelette,,
In House Cafe,Gourmet Savory Crepe,The Country Crepe,,,
In House Cafe,Sweet Crepe,La Maroc Crepe,,,
In House Cafe,Sweet Crepe,"Topped with fresh strawberry, kiwi and honey | Add Ice Cream +",La Vionnoise,$2.99,
In House Cafe,French Toast,"For beef bacon or beef sausage, extra +",Cheesy French Toast,$1.00,
In House Cafe,Waffles,Add Beef Bacon or Beef Sausage +,In House Waffle,$1.00,
In House Cafe,Sides,Side of Egg,,,
In House Cafe,Sides,2 Eggs any style,Side of Grilled Chicken,,
In House Cafe,Sides,House Made,Side of Hummus,,
In House Cafe,Sides,8oz House Made,Side of Avocado,,
In House Cafe,Sides,12oz,Side of Coleslaw,,
In House Cafe,Sides,Ka'ak,,,
In House Cafe,Our Drinks,Drinks,,,
In House Cafe,Hot Drinks,Hot in House Coffee,,,spicy
In House Cafe,Hot Drinks,/Small,,$2.49,
In House Cafe,Hot Drinks,/Medium,,$2.99,
In House Cafe,Hot Drinks,/Large,Hot Americano,$3.99,spicy
In House Cafe,Hot Drinks,Hot Tea,,,spicy
In House Cafe,Hot Drinks,Sick Tea,,,
In House Cafe,Cold Drinks,Iced in House Coffee,,,
In House Cafe,Cold Drinks,Cold Milk,,,
In House Cafe,Cold Drinks,Iced Tea,,,
In House Cafe,Smoothies & Juices,Smoothies,,,
In House Cafe,Smoothies & Juices,Smoothie,,,
In House Cafe,Menu,Specials,We are updating our specials Please stay tuned,,
In House Cafe,Menu,404 Not Found,,,
In House Cafe,Menu,nginx,,,
Aquitaine,Appetizers,Butternut Squash,,$16,
Aquitaine,Appetizers,Moules en Cassoulette,,$22,
Aquitaine,Appetizers,Salade De Chevre Chaud,,$17,
Aquitaine,Appetizers,Foie Gras & Duck Pate,,$20,
Aquitaine,Appetizers,French Onion Soup,,$19,
Aquitaine,Appetizers,Roasted Beetroot & Citrus Salade,,$18,
Aquitaine,Appetizers,Assiette De Fromages,,$23,
Aquitaine,Appetizers,Escargot Bourguignon,,$19,
Aquitaine,Appetizers,Yellowfin Tuna Carpaccio*,,$24,
Aquitaine,Appetizers,Belgian Endive Salade,,$17,
Aquitaine,Appetizers,Saucisse De Toulusse,,$23,
Aquitaine,Sides,Truffle Frites,,$13,
Aquitaine,Sides,Haricots Verts,,$16,
Aquitaine,Sides,Brussels Sprouts,,$15,
Aquitaine,Sides,Pommes Dauphinois,,$14,
Aquitaine,Sides,Roasted Mushrooms,,$16,
Aquitaine,Sides,Blisstered Broccolini,,$16,
Aquitaine,Sides,Pain Au Chocolate,,$7.95,
Aquitaine,Sides,Mac & Cheese,,$12.75,
Aquitaine,Sides,Applewood Smoked Bacon,,$7.75,
Aquitaine,Sides,Smoked Salmon,,$10.25,
Aquitaine,Sides,Chicken Apple Sausage,,$7.75,
Aquitaine,Sides,Lyonnaise Potatoes,,$7,
Aquitaine,Sides,"Fresh Apples, Melon, Grapes & Berries",,$8.50,
Aquitaine,Sides,Seven Grain Toast,,$3.25,
Aquitaine,Sides,Extra Farm Egg*,,$3.25,
Aquitaine,Sides,Gluten Free English Muffin,,$3.50,gluten-free
Aquitaine,Sides,English Muffin,,$3.25,
Aquitaine,Sides,Pommes Frites & Truffle Mayo,,$13,
Aquitaine,Entree,Sweet Potato & Ricotta Gnocchi,,$32,
Aquitaine,Entree,Sole Meunière*,,$38,
Aquitaine,Entree,Veal Schnitzle À La Holstine,,$37,
Aquitaine,Entree,Confit De Canard,,$36,
Aquitaine,Entree,Swordfish Au Poivre,,$38,
Aquitaine,Entree,Chicken Roti,,$35,
Aquitaine,Entree,Duck À La Grenade,,$39,
Aquitaine,Entree,Faroe Island Salmon*,,$35,
Aquitaine,Entree,Steak Frites Aquitaine*,,$47,
Aquitaine,Entree,Steak Frites Parisian*,,$52,
Aquitaine,Entree,A La Carte Sauce,,$5,
Aquitaine,Lunch,Moules Frites,,$29,
Aquitaine,Lunch,Escargots Bourguignon,,$19,
Aquitaine,Lunch,Nicoise Salade Redux,,$28,
Aquitaine,Lunch,Truffled Omelette,,$16,
Aquitaine,Lunch,French Onion Soup et Salade,,$21,
Aquitaine,Lunch,Salade à la Grecque,,$25,
Aquitaine,Lunch,Falafel Wrap,,$17,
Aquitaine,Lunch,Duck Confit Salade,,$35,
Aquitaine,Lunch,Croque Madame,,$18,
Aquitaine,Lunch,Le Turkey Club,,$19,
Aquitaine,Lunch,Sandwich au Canard,,$20,
Aquitaine,Lunch,Truffle Burger*,,$27,
Aquitaine,Eggs,Breakfast Americane,,$15.50,
Aquitaine,Eggs,Omelette De L'Ouest,,$15.25,
Aquitaine,Eggs,Omelette Alsacienne,,$16.50,
Aquitaine,Eggs,Bacon & Cheddar Omelette,,$15,
Aquitaine,Eggs,Skillet Scramble,,$15.50,
Aquitaine,Eggs,Traditional Benedict*,,$17.25,
Aquitaine,Eggs,Truffled Mushroom Benedict,,$18.75,
Aquitaine,Eggs,Smoked Salmon Benedict*,,$19.50,
Aquitaine,Eggs,Duck Hash & Eggs*,,$18.25,spicy
Aquitaine,Eggs,Avocado Tartine,,$16.75,
Aquitaine,Eggs,Shakshuka,,$17.50,
Aquitaine,A La Carte,Brioche French Toast,,$17.50,
Aquitaine,A La Carte,Crepes Parisian,,$15.25,
Aquitaine,A La Carte,Salade Grecque,,$25,
Aquitaine,A La Carte,French Onion Soup Gratinee,,$21,
Aquitaine,A La Carte,Aquitaine Burger,,$27,
Aquitaine,Beverages,Evian/San Pellegrino,,$8.95,
Aquitaine,Beverages,Coffee,,$5.95,
Aquitaine,Beverages,Espresso,,$5.95,
Aquitaine,Beverages,Cappuccino/Cafe Latte,,$6.50,
Aquitaine,Beverages,Hot Chocolate,,$5.95,spicy
Aquitaine,Beverages,Hot Or Iced Tea,,$4.95,spicy
Aquitaine,Beverages,Fresh Orange Or Grapefruit Juice,,$5.95,
Aquitaine,Beverages,Tomato Juice,,$4.95,
Aquitaine,Cocktails,Bloody Mary,,$16,
Aquitaine,Cocktails,Classic Mimosa,,$16,
Aquitaine,Cocktails,Bellini,,$16,
Aquitaine,Cocktails,Lavender French 75,,$17,
Aquitaine,Cocktails,Espresso Martini,,$16,
Aquitaine,Cocktails,The Saint Cloud,,$17,
Aquitaine,Cocktails,Aperol Spritz,,$16,
Aquitaine,Warm Chocolate Pudding Cake,Warm Chocolate Pudding Cake,,$14.75,
Aquitaine,Warm Chocolate Pudding Cake,Chocolate Mousse,,$12.50,
Aquitaine,Warm Chocolate Pudding Cake,Profiteroles,,$16,
Aquitaine,Warm Chocolate Pudding Cake,Chef Selection Sorbet,,$11.25,
